English,Portuguese
hour,hora
everything,tudo
national,nacional
four,Quatro.
line,linha
girl,garota
around,por aí
watch,assistir
until,até
father,pai
sit,sentar
create,crio
information,em formação
car,carro
learn,aprender
least,ao menos
already,já
kill,matar
minute,minuto
party,Festa
include,incluir
stand,ficar
together,junto
back,voltar
follow,Segue
health,saúde
remember,lembrar
often,frequentemente
reason,razão
speak,falar
ago,atrás
set,definir
black,Preto
member,membro
community,comunidade
once,uma vez
social,social
news,notícia
allow,permitir
win,ganhar
body,corpo
lead,liderar
continue,Prosseguir
whether,se
enough,o suficiente
spend,gastar
level,nível
able,capaz
political,político
almost,quase
boy,Garoto
university,universidade
before,antes da
stay,ficar
add,adicionar
later,mais tarde
change,mudança
five,cinco
probably,provavelmente
center,Centro
among,dentre
face,rosto
public,público
die,morrer
food,Comida
else,outro
history,história
buy,Comprar
result,resultado
morning,manhã
off,desligado
parent,pai
office,escritório
course,curso
send,enviar
research,pesquisar
walk,andar
door,porta
white,Branco
several,de várias
court,quadra
home,casa
grow,crescer
better,Melhor
open,abrir
moment,momento
including,Incluindo
consider,considerar
both,Ambas
such,tal
little,pouco
within,dentro de
second,segundo
late,atrasado
street,rua
free,gratuitamente
better,Melhor
everyone,todo o mundo
policy,política
table,tabela
sorry,desculpa
care,Cuidado
low,baixo
human,humano
please,por favor
hope,esperança
process,processar
teacher,professora
data,dados
offer,oferecer
death,morte
whole,inteira
experience,experiência
plan,plano
easy,fácil
education,Educação
build,Construir
expect,Espero
fall,cair
himself,ele mesmo
age,idade
hard,Difícil
sense,senso
across,através
show,mostrar
early,cedo
college,Faculdade
music,música
appear,aparecer
mind,mente
class,aula
police,polícia
use,usar
effect,efeito
season,temporada
tax,imposto
heart,coração
son,filho
art,arte
possible,possível
serve,servir
break,quebrar
although,Apesar
end,fim
market,mercado
even,até
air,ar
force,força
require,exigir
foot,pé
up,pra cima
listen,ouço
agree,aceita
according,de acordo com
anyone,alguém
baby,bebê
wrong,errado
love,amor
cut,cortar
decide,decidir
republican,republicano
full,cheio
behind,atrás
pass,passar
interest,interesse
sometimes,às vezes
security,segurança
eat,comer
report,relatório
control,ao controle
rate,avaliar
local,local
suggest,sugerir
report,relatório
nation,nação
sell,vender
action,açao
support,"Apoio, suporte"
wife,esposa
decision,decisão
receive,receber
value,valor
base,base
pick,escolha
phone,telefone
thanks,obrigado
event,evento
drive,dirigir
strong,Forte
reach,alcançar
remain,permanecer
explain,explique
site,local
hit,bater
pull,puxar
church,Igreja
model,modelo
perhaps,talvez
relationship,relação
six,seis
fine,multar
movie,filme
field,campo
raise,levantar
less,menos
player,jogador
couple,casal
million,milhão
themselves,si mesmos
record,registro
especially,especialmente
difference,diferença
light,luz
development,desenvolvimento
federal,Federal
former,antigo
role,Função
pretty,bonito
myself,Eu mesmo
view,Visão
price,preço
effort,esforço
nice,bom
quite,bastante
along,junto
voice,voz
finally,finalmente
department,departamento
either,ou
toward,em direção a
leader,líder
because,Porque
photo,foto
wear,vestem
space,espaço
project,projeto
return,Retorna
position,posição
special,especial
million,milhão
film,filme
need,precisar
major,maior
type,modelo
town,Cidade
article,artigo
road,estrada
form,Formato
chance,chance
drug,medicamento
economic,econômico
situation,situação
choose,escolher
practice,prática
cause,causa
happy,feliz
science,Ciência
join,Junte
teach,Ensinar
early,cedo
develop,desenvolve
share,compartilhado
yourself,você mesmo
carry,carregar
clear,Claro
brother,irmão
matter,importar
dead,morto
image,imagem
star,Estrela
cost,custo
simply,simplesmente
post,publicar
society,sociedade
picture,foto
piece,pedaço
paper,papel
energy,energia
personal,pessoal
building,construção
military,militares
open,abrir
doctor,médico
activity,atividade
exactly,exatamente
american,americano
media,meios de comunicação
miss,senhorita
evidence,Evidência
product,produtos
realize,entender
save,Salve 
arm,braço
technology,tecnologia
catch,captura
comment,Comente
look,Veja
term,prazo
color,cor
cover,cobrir
describe,descrever
guess,adivinhar
choice,escolha
source,fonte
mom,mãe
soon,em breve
director,diretor
international,internacional
rule,regra
campaign,campanha
ground,terra
election,eleição
face,rosto
uh,Uh
check,Verifica
page,página
fight,lutar
itself,em si
test,teste
patient,paciente
produce,produzir
certain,certo
whatever,qualquer que seja
half,metade
video,vídeo
support,"Apoio, suporte"
throw,lançar
third,terceiro
care,Cuidado
rest,descanso
recent,recente
available,acessível
step,Passo
ready,pronto
opportunity,oportunidade
official,oficial
oil,óleo
call,ligar
organization,organização
character,personagem
single,solteiro
current,atual
likely,provável
county,condado
future,futuro
dad,Papai
whose,cujo
less,menos
shoot,atirar
industry,indústria
second,segundo
list,Lista
general,em geral
stuff,material
figure,figura
attention,atenção
forget,esqueço
risk,risco
no,não
focus,foco
short,baixo
fire,incêndio
dog,cachorro
red,vermelho
hair,cabelo
point,apontar
condition,doença
wall,muro
daughter,filha
before,antes da
deal,acordo
author,autor
truth,verdade
upon,sobre
husband,esposo
period,período
series,Series
order,pedido
officer,Policial
close,perto
land,terra
note,Nota
computer,computador
thought,pensado
economy,economia
goal,meta
bank,Banco
behavior,comportamento
sound,som
deal,acordo
certainly,certamente
nearly,por pouco
increase,aumentar
act,agir
north,norte
well,Nós vamos
blood,sangue
culture,cultura
medical,médico
ok,OK
everybody,todo o mundo
top,topo
difficult,difícil
close,perto
language,língua
window,janela
response,resposta
population,população
lie,mentira
tree,árvore
park,Parque
worker,trabalhador
draw,empate
plan,plano
drop,derrubar
push,Empurre
earth,terra
cause,causa
per,por
private,privado
tonight,esta noite
race,corrida
than,que
letter,carta
other,outro
gun,arma de fogo
simple,simples
course,curso
wonder,maravilha
involve,envolver
hell,inferno
poor,pobre
each,cada
answer,responder
nature,natureza
administration,administração
common,comum
no,não
hard,Difícil
message,mensagem
song,música
enjoy,desfrutar
similar,semelhante
congress,Congresso
attack,ataque
past,passado
hot,quente
seek,procurar
amount,quantia
analysis,análise
store,armazenar
defense,defesa
bill,conta
like,Como
cell,célula
away,longe
performance,atuação
hospital,hospital
bed,cama
board,borda
protect,proteger
century,século
summer,verão
material,material
individual,Individual
recently,recentemente
example,exemplo
represent,representar
fill,encher
state,Estado
place,"Lugar, colocar"
animal,animal
fail,falhar
factor,fator
natural,natural
sir,senhor
agency,agência
usually,usualmente
significant,significativo
help,ajuda
ability,habilidade
mile,milha
statement,demonstração
entire,inteiro
democrat,democrata
floor,piso
serious,sério
career,carreira
dollar,dólar
vote,voto
sex,sexo
compare,comparar
south,Sul
forward,frente
subject,sujeito
financial,financeiro
identify,identificar
beautiful,lindo
decade,década
bit,pouco
reduce,reduzir
sister,irmã
quality,qualidade
quickly,rapidamente
act,agir
press,Aperte
worry,preocupar
accept,aceitar
enter,digitar
mention,menção
sound,som
thus,portanto
plant,plantar
movement,movimento
scene,cena
section,seção
treatment,tratamento
wish,desejar
benefit,beneficiar
interesting,interessante
west,Oeste
candidate,candidato
approach,aproximação
determine,determinar
resource,recurso
claim,alegar
answer,responder
prove,provar
sort,ordenar
enough,o suficiente
size,Tamanho
somebody,alguém
knowledge,conhecimento
rather,em vez de
hang,aguentar
sport,esporte
tv,televisão
loss,perda
argue,argumentar
left,deixou
note,Nota
meeting,encontro
skill,habilidade
card,cartão
feeling,sentindo-me
despite,Apesar de
degree,grau
crime,crime
that,que
sign,assinar
occur,ocorrer
imagine,Imagine
vote,voto
near,perto
king,Rei
box,caixa
present,presente
figure,figura
seven,Sete
foreign,esqueceram
laugh,rir
disease,doença
lady,Senhora
beyond,além
discuss,discutir
finish,Finalizar
design,Projeto
concern,preocupação
ball,bola
east,leste
recognize,reconhecer
apply,Aplique
prepare,preparar
network,rede
huge,enorme
success,sucesso
district,distrito
cup,copo
name,nome
physical,físico
growth,crescimento
rise,elevação
hi,Oi
standard,padrão
force,força
sign,assinar
fan,fã
theory,teoria
staff,funcionários
hurt,ferir
legal,jurídico
september,setembro
set,definir
outside,lado de fora
et,ET
strategy,estratégia
clearly,claramente
property,propriedade
lay,deitar
final,final
authority,autoridade
perfect,perfeito
method,método
region,região
since,desde
impact,impacto
indicate,indicar
safe,seguro
committee,Comitê.
supposed,suposto
dream,Sonhe
training,Treinamento
shit,merda
central,central
option,opção
eight,oito
particularly,particularmente
completely,completamente
opinion,opinião
main,a Principal
ten,dez
interview,entrevista
exist,existir
remove,remover
dark,Sombrio
play,Toque
union,União
professor,professor
pressure,pressão
purpose,propósito
stage,estágio
blue,azul
herself,ela mesma
sun,sol
pain,dor
artist,artista
employee,funcionário
avoid,evitar
account,conta
release,lançamento
fund,fundo
environment,meio Ambiente
treat,tratar
specific,específico
version,versão
shot,tomada
hate,odiar
reality,realidade
visit,Visita
club,clube
justice,justiça
river,Rio
brain,cérebro
memory,memória
rock,Rocha
talk,falar
camera,Câmera
global,global
various,vários
arrive,chegar
notice,perceber
bit,pouco
detail,detalhe
challenge,desafio
argument,argumento
lot,muito
nobody,ninguém
weapon,arma
best,melhor
station,estação
island,ilha
absolutely,absolutamente
instead,em vez de
discussion,discussão
instead,em vez de
affect,afetar
design,Projeto
little,pouco
anyway,de qualquer forma
respond,responder
control,ao controle
trouble,dificuldade
conversation,conversação
manage,gerir
close,perto
date,Encontro: Data
public,público
army,Exército
top,topo
post,publicar
charge,cobrar
seat,assento
